timestamp;total_packets;total_loopback;total_multicast;total_udp;total_tcp;total_options;total_fragment;total_fin;total_syn;total_intensity;input_packets;input_udp;input_tcp;input_options;input_fragment;input_fin;input_syn;input_intensity;output_packets;output_udp;output_tcp;output_options;output_fragment;output_fin;output_syn;output_intensity
2025-11-23T07:11:07.729609;768;0;232;341;0;1;45;0;0;189.68864808511495;21;21;0;0;21;0;0;5.186798971077362;102;101;0;1;0;0;0;25.19302357380433
2025-11-23T07:11:11.796587;584;0;162;192;61;6;63;2;17;145.5667412742656;0;0;0;0;0;0;0;0.0;52;46;0;6;0;0;0;12.961422168256528
2025-11-23T07:11:15.812599;792;0;40;66;273;4;273;16;37;197.2710108678469;0;0;0;0;0;0;0;0.0;16;12;0;4;0;0;0;3.9852729468251904
2025-11-23T07:11:19.828580;798;0;36;50;336;0;336;18;56;198.78508434182305;0;0;0;0;0;0;0;0.0;24;24;0;0;0;0;0;5.978498777197686
2025-11-23T07:11:23.842624;764;0;108;132;246;0;246;6;12;190.3877756300425;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-23T07:11:27.857605;788;0;240;305;89;0;89;0;10;196.35394916844086;2;0;2;0;2;0;1;0.4983602770772611;27;24;3;0;3;0;1;6.727863740543024
2025-11-23T07:11:31.870630;798;0;0;20;379;0;379;6;16;198.94815336387785;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-23T07:11:35.885636;776;0;116;164;222;0;224;20;20;193.33599155132896;4;0;4;0;4;1;2;0.9965772760377781;19;12;7;0;7;1;2;4.733742061179446
2025-11-23T07:11:39.900580;756;0;138;159;216;1;294;12;38;188.37297767767848;7;0;7;0;7;0;1;1.744194237756282;63;55;7;1;63;0;1;15.697748139806539
2025-11-23T07:11:43.913705;678;0;71;85;242;0;275;14;38;169.0008711121317;5;0;5;0;5;1;1;1.2463191084965466;60;55;5;0;38;1;1;14.955829301958557
2025-11-23T07:11:47.929624;678;0;93;137;189;0;270;16;16;168.91705889742957;21;0;21;0;21;1;2;5.231944302132774;90;67;23;0;90;1;2;22.42261843771189
2025-11-23T07:11:51.943609;734;0;57;91;237;2;263;16;20;182.92245570414636;5;0;5;0;5;0;0;1.2460657745514057;41;33;6;2;28;0;0;10.217739351321526
2025-11-23T07:11:55.959644;802;0;12;28;373;0;373;0;0;199.80108035778773;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-23T07:11:59.973584;728;0;144;217;145;0;159;4;14;181.4236949444788;15;0;15;0;15;1;1;3.738125582647228;27;12;15;0;27;1;1;6.728626048765011
2025-11-23T07:12:03.988590;798;0;156;217;178;0;180;4;6;198.82603617446173;7;0;7;0;7;0;1;1.7440880366180855;21;12;9;0;9;0;1;5.232264109854256
2025-11-23T07:12:08.002604;752;0;127;164;212;0;216;0;8;187.40036453192428;0;0;0;0;0;0;0;0.0;48;48;0;0;0;0;0;11.961725395654742
2025-11-23T07:12:12.016592;768;0;225;281;77;0;138;1;6;191.3871059987548;8;0;8;0;8;1;1;1.993615687487029;89;81;8;0;8;0;1;22.1789745232932
2025-11-23T07:12:16.032655;714;0;109;181;172;0;251;10;4;177.84074583615137;26;1;25;0;25;1;2;6.4759935458542515;135;110;25;0;72;1;2;33.625351103474
2025-11-23T07:12:20.046630;432;0;137;145;22;0;154;4;2;107.66422823584175;4;0;4;0;4;0;1;0.99689100218372;143;137;6;0;138;0;1;35.63885332806799
2025-11-23T07:12:24.060652;586;0;225;255;8;2;205;4;0;146.04617195554195;0;0;0;0;0;0;0;0.0;97;95;0;2;59;0;0;24.1748782929822
2025-11-23T07:12:28.072580;692;0;159;255;87;0;282;6;13;172.57827543400268;0;0;0;0;0;0;0;0.0;24;24;0;0;12;0;0;5.985373714474082
2025-11-23T07:12:32.086572;700;0;26;249;95;2;193;4;13;174.45227660713905;0;0;0;0;0;0;0;0.0;26;24;0;2;0;0;0;6.479655988265165
2025-11-23T07:12:36.100620;626;0;13;140;159;1;221;9;24;156.00533082549248;19;19;0;0;12;0;0;4.7349860793679825;32;31;0;1;30;0;0;7.974713396830286
2025-11-23T07:12:40.114588;628;0;74;200;112;0;264;6;8;156.51621188426648;48;46;2;0;32;1;0;11.963022564402534;124;122;2;0;112;1;0;30.904474958039877
2025-11-23T07:12:44.128584;722;0;61;161;185;1;273;8;12;179.92541931922042;127;42;85;0;121;4;6;31.64893109908725;185;100;84;1;136;4;6;46.1027736482767
2025-11-23T07:12:48.142603;770;0;182;189;177;3;183;14;20;191.88964848507894;34;3;31;0;34;2;4;8.473049413626862;198;159;36;3;39;2;4;49.343052467591725
2025-11-23T07:12:52.157611;774;0;21;60;301;0;296;8;26;192.84301803221302;30;1;29;0;11;0;1;7.474535582643916;37;13;24;0;37;0;1;9.218593885260828
2025-11-23T07:12:56.172615;800;0;0;20;380;0;380;26;56;199.31938598729218;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-23T07:13:00.187599;772;0;25;150;236;0;231;14;22;192.345126986587;95;2;93;0;74;4;11;23.66941329498156;113;14;99;0;113;4;11;28.15414423508333
2025-11-23T07:13:04.201576;736;0;36;86;282;0;95;0;2;183.4284457648249;187;0;187;0;0;0;1;46.60478173644328;119;24;95;0;95;0;1;29.65758837773663
2025-11-23T07:13:08.213620;798;0;24;24;375;0;150;0;0;198.98156582086315;241;0;241;0;4;0;0;60.09343027923311;134;0;134;0;134;0;0;33.41294463658604
2025-11-23T07:13:12.280575;800;0;0;0;400;0;144;0;0;199.34196729465054;256;0;256;0;0;0;0;63.78942953428817;144;0;144;0;144;0;0;35.8815541130371
2025-11-23T07:13:16.295610;800;0;12;12;388;0;166;0;0;199.3096422000213;222;0;222;0;0;0;0;55.30842571050591;166;0;166;0;166;0;0;41.35675075650442
2025-11-23T07:13:20.310607;800;0;0;0;400;0;160;0;0;199.3144488581533;240;0;240;0;0;0;0;59.794334657445994;160;0;160;0;160;0;0;39.86288977163066
2025-11-23T07:13:24.325588;800;0;0;3;397;0;168;0;0;199.3400724943589;229;0;229;0;0;0;0;57.06109575151024;168;0;168;0;168;0;0;41.86141522381537
2025-11-23T07:13:28.377608;800;0;12;23;377;0;162;0;1;199.38611449336085;223;0;223;0;8;0;1;55.57887941502433;154;0;154;0;154;0;0;38.38182703997196
2025-11-23T07:13:32.393630;800;0;24;43;357;0;163;4;2;199.31743241774268;215;0;215;0;21;2;1;53.56655996226834;154;12;142;0;142;2;1;38.36860574041546
2025-11-23T07:13:36.410626;800;0;84;116;280;0;224;4;4;199.2481942362825;132;0;132;0;76;1;2;32.87595204898661;122;12;110;0;110;1;2;30.38534962103308
2025-11-23T07:13:40.425600;776;0;72;80;308;0;307;14;20;193.3426296934127;87;0;87;0;86;1;0;21.676299978514052;82;0;82;0;82;1;0;20.430535611932786
2025-11-23T07:13:44.439614;798;0;60;116;281;0;289;14;44;198.86431092055622;59;5;54;0;58;1;2;14.703000431469695;57;5;52;0;56;1;2;14.204593637182587
2025-11-23T07:13:48.453673;776;0;97;150;234;0;249;14;8;193.4097027879205;75;1;74;0;74;0;4;18.69294807872943;95;13;82;0;95;0;4;23.67773423305728
2025-11-23T07:13:52.468613;800;0;12;14;386;0;386;0;0;199.36856935612516;172;0;172;0;172;0;0;42.86424241156691;214;0;214;0;214;0;0;53.33109230276348
2025-11-23T07:13:56.483590;792;0;115;143;249;0;257;2;6;197.32378924258273;123;5;118;0;121;1;3;30.64498242024959;128;5;123;0;128;1;3;31.890713412942663
2025-11-23T07:14:00.501648;798;0;19;54;341;0;314;10;18;198.66139847627352;164;3;161;0;131;5;9;40.82765582720408;171;3;168;0;171;5;9;42.570299673487185
2025-11-23T07:14:04.517594;790;0;19;55;340;0;335;2;24;196.8053191304858;179;4;175;0;166;1;12;44.592597625768306;169;4;165;0;169;1;12;42.10139105449633
2025-11-23T07:14:08.532656;800;0;3;47;353;0;358;0;12;199.31906630965446;186;1;185;0;185;0;6;46.341682916994664;145;1;144;0;145;0;6;36.12658076862487
2025-11-23T07:14:12.546607;798;0;0;32;367;0;218;0;6;198.86582331187535;229;0;229;0;80;0;3;57.06801195290659;138;0;138;0;138;0;3;34.39033034716641
2025-11-23T07:14:16.559611;800;0;0;0;400;0;166;1;0;199.41928217114489;234;0;234;0;0;0;0;58.33014003505988;166;0;166;0;166;1;0;41.37950105051256
2025-11-23T07:14:20.574592;800;0;0;0;400;0;190;1;0;199.32189608437966;211;0;211;0;1;1;0;52.57115009225514;189;0;189;0;189;0;0;47.0897979499347
2025-11-23T07:14:24.590630;800;0;0;0;400;0;252;0;0;199.27842824236777;148;0;148;0;0;0;0;36.86650922483804;252;0;252;0;252;0;0;62.77270489634585
