timestamp,total_packets,total_loopback,total_multicast,total_udp,total_tcp,total_options,total_fragment,total_fin,total_syn,total_intensity,input_packets,input_udp,input_tcp,input_options,input_fragment,input_fin,input_syn,input_intensity,output_packets,output_udp,output_tcp,output_options,output_fragment,output_fin,output_syn,output_intensity,is_anomaly
2025-11-22T14:41:03.433987,306,0,26,50,47,4,47,0,12,149.16718965066977,0,0,0,0,0,0,0,0.0,26,22,0,4,0,0,0,12.674336375547105,0
2025-11-22T14:41:05.491983,394,0,0,8,149,0,149,12,24,191.6848332131453,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
2025-11-22T14:41:07.548969,314,0,8,22,12,1,12,0,0,152.7943258922641,0,0,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0.4866061334148538,0
2025-11-22T14:41:09.579939,390,0,93,168,0,0,34,0,0,192.23488736401595,10,10,0,0,10,0,0,4.929099676000409,20,20,0,0,0,0,0,9.85819935200082,0
2025-11-22T14:41:11.595925,300,0,127,146,0,4,11,0,0,148.9349296693877,11,11,0,0,11,0,0,5.460947421210883,82,78,0,4,0,0,0,40.70888077629931,0
2025-11-22T14:41:13.661966,320,0,146,144,14,2,14,0,0,155.0117658254828,0,0,0,0,0,0,0,0.0,36,34,0,2,0,0,0,17.438823655366814,0
2025-11-22T14:41:15.675929,348,0,12,48,93,0,95,6,28,172.911732692808,0,0,0,0,0,0,0,0.0,12,12,0,0,0,0,0,5.96247354113131,0
2025-11-22T14:41:17.767946,394,0,3,4,177,3,177,6,20,188.46130851711445,0,0,0,0,0,0,0,0.0,3,0,0,3,0,0,0,1.4349845826176226,0
2025-11-22T14:41:19.783898,398,0,37,62,83,1,83,4,15,197.6246200865184,0,0,0,0,0,0,0,0.0,13,12,0,1,0,0,0,6.455075530464169,0
2025-11-22T14:41:21.828930,400,0,36,42,158,0,158,10,28,195.7129876882169,0,0,0,0,0,0,0,0.0,24,24,0,0,0,0,0,11.742779261293014,0
2025-11-22T14:41:23.877927,398,0,0,16,183,0,183,10,28,194.46005312860973,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
2025-11-22T14:41:25.965953,396,0,36,41,157,0,157,0,0,189.7674538490321,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
2025-11-22T14:41:28.028940,368,0,129,153,28,0,28,2,0,178.4933226202916,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
2025-11-22T14:41:30.065966,398,0,165,185,14,0,14,0,0,195.5792662659556,0,0,0,0,0,0,0,0.0,12,12,0,0,0,0,0,5.896862299476048,0
2025-11-22T14:41:32.082910,388,0,12,56,138,0,138,4,22,192.55272272579856,2,0,2,0,2,0,1,0.9925398078649412,15,12,3,0,3,0,1,7.444048558987058,0
2025-11-22T14:41:34.146889,400,0,0,8,192,0,192,1,0,193.932511615052,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
2025-11-22T14:41:36.163930,400,0,0,4,196,0,196,6,20,198.42302032210185,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
2025-11-22T14:41:38.221020,376,0,23,53,135,0,135,14,4,182.96023401338195,4,0,4,0,4,1,2,1.9463854682274675,19,12,7,0,7,1,2,9.24533097408047,0
2025-11-22T14:41:40.262957,400,0,174,188,10,0,34,0,8,196.0103292854028,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
2025-11-22T14:41:42.279902,354,0,56,75,99,1,155,4,10,175.69738253214103,7,0,7,0,7,0,1,3.4742420274717154,63,55,7,1,63,0,1,31.26817824724544,0
2025-11-22T14:41:44.357960,400,0,11,18,170,0,170,12,29,192.60353181906683,0,0,0,0,0,0,0,0.0,11,11,0,0,0,0,0,5.296597125024338,0
2025-11-22T14:41:46.406958,312,0,38,48,108,0,119,6,15,152.3634313191851,5,0,5,0,5,1,1,2.4417216557561714,27,22,5,0,16,1,1,13.185296941083326,0
2025-11-22T14:41:48.453940,308,0,56,60,94,0,139,7,16,150.6672759390364,0,0,0,0,0,0,0,0.0,45,45,0,0,45,0,0,22.013076030054016,0
2025-11-22T14:41:50.467954,356,0,48,79,86,0,131,10,2,176.87202705960183,13,0,13,0,13,1,1,6.458809976895573,47,33,14,0,47,1,1,23.35108222416092,0
