timestamp;total_packets;total_loopback;total_multicast;total_udp;total_tcp;total_options;total_fragment;total_fin;total_syn;total_intensity;input_packets;input_udp;input_tcp;input_options;input_fragment;input_fin;input_syn;input_intensity;output_packets;output_udp;output_tcp;output_options;output_fragment;output_fin;output_syn;output_intensity
2025-11-06T16:03:03.313051;362;0;18;32;139;0;139;12;20;176.05395188489425;0;0;0;0;0;0;0;0.0;18;18;0;0;0;0;0;8.754063905878718
2025-11-06T16:03:05.358107;212;0;90;95;0;0;0;0;0;105.28792715415517;0;0;0;0;0;0;0;0.0;90;90;0;0;0;0;0;44.6977049239338
2025-11-06T16:03:07.378108;328;0;52;100;62;0;62;6;12;162.51515158674545;0;0;0;0;0;0;0;0.0;13;13;0;0;0;0;0;6.441149300694179
2025-11-06T16:03:09.391079;380;0;39;49;131;0;131;6;22;188.9184370115424;3;0;3;0;3;0;1;1.4914613448279663;24;21;3;0;3;0;1;11.93169075862373
2025-11-06T16:03:11.407112;400;0;10;18;182;0;182;12;32;198.53591558054353;0;0;0;0;0;0;0;0.0;1;0;1;0;1;0;0;0.4963397889513588
2025-11-06T16:03:13.423098;396;0;114;136;40;0;40;6;2;196.64428887859395;5;0;5;0;5;1;1;2.482882435335782;5;0;5;0;5;1;1;2.482882435335782
2025-11-06T16:03:15.439085;398;0;44;64;135;0;141;4;16;197.59500535909487;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-06T16:03:17.455097;386;0;86;112;81;0;87;2;8;191.6036876874318;0;0;0;0;0;0;0;0.0;11;11;0;0;0;0;0;5.460208716481217
2025-11-06T16:03:19.469155;352;0;67;86;76;1;118;4;0;174.8932155086408;0;0;0;0;0;0;0;0.0;34;33;0;1;34;0;0;16.893094679811895
2025-11-06T16:03:21.486065;210;0;82;94;0;0;88;0;0;104.30293190852929;0;0;0;0;0;0;0;0.0;82;82;0;0;82;0;0;40.727811507140004
2025-11-06T16:03:23.503049;216;0;81;96;8;0;49;0;0;107.1880087385998;0;0;0;0;0;0;0;0.0;81;81;0;0;37;0;0;40.195503276974925
2025-11-06T16:03:25.519041;238;0;55;76;37;0;54;2;9;118.16082036092017;5;0;5;0;5;0;1;2.4823701756495833;61;55;6;0;17;0;1;30.284916142924917
2025-11-06T16:03:27.536095;312;0;44;129;25;0;110;2;4;154.79121034061987;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
